;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1392;125;CN;117868;E;25;0;;0.05808;8.96186;0.22071;Cinza;505;;0
1180;104;CN;111545;E;9;0;;0.54124;3.79854;0.17374;Cinza;505;;0
1262;112;CN;117883;B;7;0;;0.38139;3.36471;0.06869;Cinza;505;;0
1172;103;CN;111601;B;5;0;;7.09582;2.42384;0.23686;Cinza;505;;0
1326;119;CN;49600;D;23;0;;1.14904;2.36402;0.11480;Cinza;505;;0
1152;101;CN;117746;A;9;0;;1.21390;2.21432;0.09924;Cinza;505;;0
1306;117;CN;14273;D;13;0;;3.90297;2.19782;0.05798;Cinza;505;;0
1240;110;CN;54381;A;18;0;;3.20714;2.14905;0.08067;Cinza;505;;0
1202;106;CN;117979;B;6;0;;1.19339;2.04675;0.26041;Cinza;505;;0
1320;118;CN;97169;A;20;0;;5.93339;1.98881;0.13188;Cinza;505;;0
1301;116;CN;83441;D;17;0;;4.60881;1.94111;0.12462;Cinza;505;;0
1355;122;CN;7629;B;20;0;;0.75316;1.83643;0.10672;Cinza;505;;0
1111;97;CN;111705;B;2;0;;1.78669;1.78124;0.20473;Cinza;505;;0
1129;99;CN;83526;C;16;0;;1.62997;1.70518;0.16280;Cinza;505;;0
1379;124;CN;89515;C;21;0;;3.14647;1.67856;0.32644;Cinza;505;;0
1346;121;CN;78504;C;24;0;;3.20779;1.67408;0.16383;Cinza;505;;0
1186;105;CN;19407;E;17;0;;2.32962;1.67314;0.14993;Cinza;505;;0
1080;94;CN;84568;C;1;0;;2.42831;1.66707;0.29842;Cinza;505;;0
1089;95;CN;89772;C;7;0;;0.67587;1.59601;0.02169;Cinza;505;;0
1118;98;CN;81478;B;8;0;;2.37739;1.59193;0.20921;Cinza;505;;0
1052;91;CN;117875;D;1;0;;1.78539;1.58564;0.13602;Cinza;505;;0
1482;134;CN;117836;A;23;0;;1.87838;1.45214;0.07496;Cinza;505;;0
1401;126;CN;96556;A;21;0;;1.66258;1.37670;0.17468;Cinza;505;;0
1287;115;CN;82236;D;22;0;;2.77263;1.28601;0.13618;Cinza;505;;0
1096;96;CN;24104;E;3;0;;3.41094;1.15715;0.16829;Cinza;505;;0
1467;133;CN;82364;A;27;0;;2.43167;1.13773;0.22233;Cinza;505;;0
1061;92;CN;117642;A;2;0;;1.92967;1.07472;0.22014;Cinza;505;;0
1269;113;CN;82490;C;19;0;;1.75058;1.02204;0.23374;Cinza;505;;0
1232;109;CN;117890;B;6;0;;1.85268;0.99689;0.12401;Cinza;505;;0
1368;123;CN;55328;B;15;0;;0.54974;0.97948;0.05877;Cinza;505;;0
1408;127;CN;39290;E;8;0;;2.00073;0.86840;0.16452;Cinza;505;;0
1451;131;CN;117988;A;27;0;;3.11909;0.80483;0.08561;Cinza;505;;0
1250;111;CN;88853;C;11;0;;2.39212;0.70901;0.16500;Cinza;505;;0
1455;132;CN;7529;D;29;0;;2.26543;0.62256;0.16620;Cinza;505;;0
1485;135;CN;29776;E;30;0;;2.80865;0.58402;0.21207;Cinza;505;;0
1068;93;CN;85548;D;24;0;;2.96175;0.58267;0.11175;Cinza;505;;0
1426;129;CN;31718;D;28;0;;1.90483;0.48421;0.21286;Cinza;505;;0
1142;100;CN;117999;C;3;0;;3.76618;0.41535;0.10709;Cinza;505;;0
1420;128;CN;89298;A;26;0;;1.02022;0.29761;0.01670;Cinza;505;;0
1440;130;CN;89150;E;22;0;;3.48200;0.29664;0.15617;Cinza;505;;0
1159;102;CN;86521;C;4;0;;1.71979;0.25498;0.14498;Cinza;505;;0
1216;108;CN;60311;E;10;0;;2.79351;0.15609;0.14102;Cinza;505;;0
1281;114;CN;111624;D;12;0;;1.03081;-0.00312;0.01163;Cinza;505;;0
1336;120;CN;19223;B;14;0;;2.06769;-0.11974;0.19742;Cinza;505;;0
1207;107;CN;83609;E;18;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;505;;0
