;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
634;53;CH;111820;B;5;0;;1.43499;2.25728;0.06711;Amarela;508;;0
865;74;CH;96596;B;7;0;;1.69675;2.03032;0.19839;Amarela;508;;0
991;86;CH;81689;D;23;0;;2.34674;1.87883;0.11625;Amarela;508;;0
821;70;CH;118024;E;4;0;;2.44871;1.81367;0.12029;Amarela;508;;0
1024;89;CH;66219;A;1;0;;1.47100;1.73902;0.23765;Amarela;508;;0
763;65;CH;88194;E;19;0;;1.35668;1.69195;0.10234;Amarela;508;;0
551;46;CH;86751;C;23;0;;3.45284;1.65017;0.09484;Amarela;508;;0
973;84;CH;87709;C;3;0;;2.06585;1.48052;0.17341;Amarela;508;;0
709;60;CH;84888;B;15;0;;2.31070;1.45829;0.17477;Amarela;508;;0
853;73;CH;89147;B;18;0;;3.04427;1.36609;0.23176;Amarela;508;;0
1008;87;CH;97975;A;1;0;;1.45676;1.36180;0.21595;Amarela;508;;0
754;64;CH;88306;B;23;0;;1.78628;1.34891;0.18079;Amarela;508;;0
931;80;CH;118054;A;28;0;;2.07127;1.34720;0.07736;Amarela;508;;0
716;61;CH;88233;A;15;0;;1.39689;1.31818;0.11442;Amarela;508;;0
831;71;CH;97013;A;24;0;;0.73411;1.20733;0.01008;Amarela;508;;0
961;83;CH;88308;C;3;0;;1.40104;1.15692;0.09673;Amarela;508;;0
682;58;CH;33960;B;14;0;;3.73216;1.13742;0.16303;Amarela;508;;0
887;76;CH;95648;C;8;0;;2.21046;1.12907;0.18621;Amarela;508;;0
921;79;CH;111894;B;27;0;;2.21881;1.10809;0.13721;Amarela;508;;0
810;69;CH;118029;B;5;0;;2.63717;1.07054;0.22582;Amarela;508;;0
899;77;CH;118038;D;26;0;;3.49023;1.02573;0.18725;Amarela;508;;0
654;55;CH;84769;E;11;0;;2.20133;1.01836;0.12996;Amarela;508;;0
730;62;CH;86934;D;17;0;;0.61655;1.00168;0.04145;Amarela;508;;0
836;72;CH;11601;D;15;0;;1.20499;0.97500;0.14600;Amarela;508;;0
591;49;CH;118034;B;9;0;;2.89911;0.93429;0.16213;Amarela;508;;0
668;56;CH;118022;E;26;0;;3.17381;0.77149;0.09188;Amarela;508;;0
1042;90;CH;111877;C;10;0;;2.54319;0.68737;0.16087;Amarela;508;;0
646;54;CH;118033;C;6;0;;3.33353;0.65950;0.32563;Amarela;508;;0
778;66;CH;118125;E;21;0;;1.14176;0.61713;0.00161;Amarela;508;;0
795;68;CH;85139;B;24;0;;2.89534;0.60872;0.22906;Amarela;508;;0
611;51;CH;96447;D;20;0;;3.56414;0.51626;0.13663;Amarela;508;;0
596;50;CH;84811;A;2;0;;2.78428;0.48121;0.18255;Amarela;508;;0
745;63;CH;118158;C;6;0;;2.22546;0.46653;0.15939;Amarela;508;;0
1020;88;CH;118108;C;22;0;;2.80224;0.44492;0.21353;Amarela;508;;0
948;82;CH;66498;C;30;0;;1.31749;0.44063;0.18259;Amarela;508;;0
987;85;CH;112135;A;27;0;;2.05925;0.34452;0.21848;Amarela;508;;0
872;75;CH;84147;A;25;0;;2.06700;0.32546;0.20034;Amarela;508;;0
622;52;CH;96302;B;7;0;;1.13705;0.24894;0.00655;Amarela;508;;0
784;67;CH;87057;D;20;0;;1.22262;0.24530;0.17471;Amarela;508;;0
677;57;CH;111844;E;11;0;;2.33881;0.22143;0.04965;Amarela;508;;0
562;47;CH;83820;B;12;0;;2.24266;0.19945;0.14787;Amarela;508;;0
574;48;CH;77940;A;16;0;;1.69265;-0.16281;0.19993;Amarela;508;;0
694;59;CH;78903;C;11;0;;1.56820;-0.25115;0.00814;Amarela;508;;0
903;78;CH;76955;B;27;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarela;508;;0
943;81;CH;118067;C;29;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarela;508;;0
